county,month,labor_force,employed,unemployed,unemployment_rate
Sullivan,2008-12,34700,31800,2900,8.3
Tioga,2008-12,26300,24400,1900,7.1
Tompkins,2008-12,56800,54100,2600,4.6
Ulster,2008-12,89400,83600,5800,6.4
Warren,2008-12,35500,32600,2900,8.1
Washington,2008-12,31400,29300,2100,6.7
Wayne,2008-12,48200,44600,3600,7.4
Westchester,2008-12,490900,463100,27800,5.7
Wyoming,2008-12,21100,19200,1800,8.7
Yates,2008-12,13000,12200,800,6.2
Albany,2009-01,158300,147900,10300,6.5
Allegany,2009-01,24000,21700,2300,9.4
Bronx,2009-01,531800,477400,54400,10.2
Broome,2009-01,97300,89400,8000,8.2
Cattaraugus,2009-01,42000,38400,3600,8.7
Cayuga,2009-01,41300,37700,3600,8.7
Chautauqua,2009-01,66200,60700,5400,8.2
Chemung,2009-01,41400,37800,3600,8.6
Chenango,2009-01,24500,22200,2400,9.7
Clinton,2009-01,39700,35900,3800,9.7
Columbia,2009-01,31000,28800,2200,7.0
Cortland,2009-01,24500,22100,2500,10.0
Delaware,2009-01,22300,20200,2100,9.2
Dutchess,2009-01,144000,133600,10400,7.3
Erie,2009-01,470100,431200,38900,8.3
Essex,2009-01,18700,16700,1900,10.4
Franklin,2009-01,23100,20800,2200,9.7
Fulton,2009-01,27400,24600,2800,10.3
Genesee,2009-01,32600,29800,2900,8.8
Greene,2009-01,24600,22600,2000,8.0
Hamilton,2009-01,2900,2600,300,9.8
Herkimer,2009-01,31100,28300,2800,9.0
Jefferson,2009-01,48400,43500,4900,10.1
Kings,2009-01,1116500,1025300,91200,8.2
Lewis,2009-01,12800,11400,1400,11.0
Livingston,2009-01,32500,29500,3000,9.2
Madison,2009-01,36600,33300,3300,8.9
Monroe,2009-01,374400,347000,27400,7.3
Montgomery,2009-01,24600,22000,2600,10.4
Nassau,2009-01,687200,643000,44200,6.4
New York,2009-01,933400,867100,66300,7.1
Niagara,2009-01,114700,102800,11900,10.4
Oneida,2009-01,109800,101200,8600,7.8
Onondaga,2009-01,233700,216800,16900,7.2
Ontario,2009-01,57500,53000,4500,7.8
Orange,2009-01,179200,166200,13000,7.3
Orleans,2009-01,19600,17600,2000,10.1
Oswego,2009-01,60900,54400,6500,10.6
Otsego,2009-01,30800,28100,2700,8.8
Putnam,2009-01,54800,51400,3400,6.1
Queens,2009-01,1130500,1051500,79000,7.0
Rensselaer,2009-01,83600,77500,6100,7.3
Richmond,2009-01,246500,229600,16800,6.8
Rockland,2009-01,153000,143500,9500,6.2
Saratoga,2009-01,121900,114100,7800,6.4
Schenectady,2009-01,76300,71100,5300,6.9
Schoharie,2009-01,15900,14200,1700,10.9
Schuyler,2009-01,9700,8800,900,9.4
Seneca,2009-01,16900,15500,1400,8.3
St. Lawrence,2009-01,49600,44300,5300,10.7
Steuben,2009-01,46200,41700,4500,9.7
Suffolk,2009-01,787900,731900,56000,7.1
Sullivan,2009-01,34700,31400,3400,9.6
Tioga,2009-01,26300,24100,2200,8.5
Tompkins,2009-01,55000,52000,3000,5.5
Ulster,2009-01,88700,82000,6700,7.6
Warren,2009-01,35400,32000,3400,9.7
Washington,2009-01,31200,28700,2500,8.1
Wayne,2009-01,48200,43900,4300,9.0
Westchester,2009-01,486600,453900,32600,6.7
Wyoming,2009-01,21200,19000,2200,10.4
Yates,2009-01,12500,11500,1000,7.7
Albany,2009-02,158700,147800,10900,6.9
Allegany,2009-02,24900,22500,2400,9.6
Bronx,2009-02,536700,478000,58700,10.9
Broome,2009-02,97600,89300,8400,8.6
Cattaraugus,2009-02,42400,38400,4000,9.4
Cayuga,2009-02,41100,37200,3900,9.5
Chautauqua,2009-02,66200,60300,5900,8.9
Chemung,2009-02,41200,37200,4000,9.6
Chenango,2009-02,24500,22000,2500,10.2
Clinton,2009-02,40100,35900,4100,10.3
Columbia,2009-02,31000,28600,2400,7.8
Cortland,2009-02,25000,22300,2600,10.5
Delaware,2009-02,22300,20100,2200,9.7
Dutchess,2009-02,144100,132800,11300,7.8
Erie,2009-02,468100,427400,40700,8.7
Essex,2009-02,18700,16700,2100,11.0
Franklin,2009-02,23100,20800,2300,10.1
Fulton,2009-02,27200,24300,2900,10.7
Genesee,2009-02,32600,29600,3000,9.2
Greene,2009-02,24500,22400,2100,8.7
Hamilton,2009-02,2800,2500,300,10.3
Herkimer,2009-02,31400,28400,3000,9.5
Jefferson,2009-02,48500,43300,5200,10.8
Kings,2009-02,1126500,1026600,99900,8.9
Lewis,2009-02,12900,11400,1500,11.7
Livingston,2009-02,32400,29300,3100,9.5
Madison,2009-02,36600,33200,3400,9.3
Monroe,2009-02,374000,344300,29700,7.9
Montgomery,2009-02,24600,21900,2700,11.0
Nassau,2009-02,685000,636700,48200,7.0
New York,2009-02,941800,868200,73700,7.8
Niagara,2009-02,114200,101900,12300,10.7
Oneida,2009-02,110400,101400,9000,8.2
Onondaga,2009-02,234100,215700,18400,7.9
Ontario,2009-02,57300,52600,4800,8.3
Orange,2009-02,179500,165200,14300,8.0
Orleans,2009-02,19600,17500,2100,10.8
Oswego,2009-02,60900,54100,6800,11.1
Otsego,2009-02,31300,28400,2900,9.2
Putnam,2009-02,54600,50900,3700,6.7
Queens,2009-02,1140600,1052800,87800,7.7
Rensselaer,2009-02,84100,77500,6600,7.8
Richmond,2009-02,248200,229900,18300,7.4
Rockland,2009-02,152400,142000,10400,6.8
Saratoga,2009-02,122600,114000,8600,7.0
Schenectady,2009-02,76800,71000,5700,7.5
Schoharie,2009-02,15900,14200,1800,11.1
Schuyler,2009-02,9900,8900,1000,10.0
Seneca,2009-02,16900,15400,1500,8.8
St. Lawrence,2009-02,50500,45000,5500,10.9
Steuben,2009-02,46000,41200,4800,10.4
Suffolk,2009-02,785300,724700,60500,7.7
Sullivan,2009-02,34700,31200,3500,10.1
Tioga,2009-02,26400,24000,2400,9.0
Tompkins,2009-02,57800,54400,3400,5.9
Ulster,2009-02,89300,82100,7200,8.1
Warren,2009-02,35400,31900,3500,9.9
Washington,2009-02,31400,28600,2800,9.0
Wayne,2009-02,48100,43500,4600,9.5
Westchester,2009-02,484800,449100,35600,7.3
Wyoming,2009-02,21100,18700,2300,11.1
Yates,2009-02,13200,12100,1100,8.1
Albany,2009-03,158700,148200,10500,6.6
Allegany,2009-03,24700,22400,2300,9.3
Bronx,2009-03,527900,470100,57800,10.9
Broome,2009-03,97500,89400,8100,8.3
Cattaraugus,2009-03,42200,38400,3800,9.1
Cayuga,2009-03,41000,37200,3900,9.4
Chautauqua,2009-03,65800,60000,5800,8.8
Chemung,2009-03,41200,37300,3900,9.6
Chenango,2009-03,24600,22200,2400,9.8
Clinton,2009-03,39800,35800,4000,10.1
Columbia,2009-03,31100,28700,2400,7.8
Cortland,2009-03,24500,21900,2600,10.6
Delaware,2009-03,22300,20200,2100,9.3
Dutchess,2009-03,144400,133500,10900,7.6
Erie,2009-03,468800,429000,39800,8.5
Essex,2009-03,18400,16400,2000,10.9
Franklin,2009-03,23000,20700,2300,9.8
Fulton,2009-03,27100,24300,2900,10.5
Genesee,2009-03,32600,29700,2800,8.7
Greene,2009-03,24000,21900,2100,8.9
Hamilton,2009-03,2800,2500,300,10.3
Herkimer,2009-03,31300,28400,2900,9.2
Jefferson,2009-03,48500,43500,5000,10.3
Kings,2009-03,1110000,1009700,100200,9.0
Lewis,2009-03,12700,11200,1400,11.3
Livingston,2009-03,32400,29300,3000,9.3
Madison,2009-03,36400,33100,3300,9.0
Monroe,2009-03,374000,344800,29200,7.8
Montgomery,2009-03,24600,21900,2700,10.8
Nassau,2009-03,689100,641500,47600,6.9
New York,2009-03,927800,853900,74000,8.0
Niagara,2009-03,114100,102300,11800,10.3
Oneida,2009-03,110100,101400,8700,7.9
Onondaga,2009-03,233300,215400,17900,7.7
Ontario,2009-03,57300,52700,4600,8.1
Orange,2009-03,180200,166000,14100,7.9
Orleans,2009-03,19600,17500,2100,10.9
Oswego,2009-03,60400,54000,6400,10.6
Otsego,2009-03,31300,28600,2700,8.7
Putnam,2009-03,54900,51200,3700,6.7
Queens,2009-03,1124300,1035500,88800,7.9
Rensselaer,2009-03,84200,77700,6600,7.8
Richmond,2009-03,244300,226100,18200,7.5
Rockland,2009-03,153100,142900,10300,6.7
Saratoga,2009-03,122700,114300,8300,6.8
Schenectady,2009-03,76900,71200,5700,7.4
Schoharie,2009-03,15900,14200,1700,10.9
Schuyler,2009-03,9800,8900,1000,9.8
Seneca,2009-03,17000,15600,1500,8.7
St. Lawrence,2009-03,50300,44900,5400,10.7
Steuben,2009-03,46200,41300,4900,10.7
Suffolk,2009-03,789200,730200,59000,7.5
Sullivan,2009-03,34700,31300,3400,9.7
Tioga,2009-03,26400,24100,2300,8.8
Tompkins,2009-03,57600,54300,3300,5.7
Ulster,2009-03,90100,83200,6900,7.7
Warren,2009-03,35400,32000,3400,9.7
Washington,2009-03,31300,28700,2700,8.5
Wayne,2009-03,48200,43600,4600,9.6
Westchester,2009-03,486600,451900,34800,7.1
Wyoming,2009-03,21000,18700,2300,10.9
Yates,2009-03,13200,12200,1000,7.7
Albany,2009-04,159800,149500,10300,6.5
Allegany,2009-04,24400,22400,2000,8.4
Bronx,2009-04,525300,469100,56200,10.7
Broome,2009-04,97800,90300,7500,7.7
Cattaraugus,2009-04,41700,38000,3600,8.7
Cayuga,2009-04,41200,37700,3500,8.5
Chautauqua,2009-04,65600,60000,5600,8.5
Chemung,2009-04,40900,37200,3700,9.0
Chenango,2009-04,24600,22500,2100,8.5
Clinton,2009-04,39900,36200,3800,9.4
Columbia,2009-04,31400,29200,2200,7.1
Cortland,2009-04,24500,22300,2200,8.9
Delaware,2009-04,22300,20400,1900,8.5
Dutchess,2009-04,144200,134100,10200,7.0
Erie,2009-04,470400,432500,38000,8.1
Essex,2009-04,17800,16000,1800,10.3
Franklin,2009-04,22900,20900,2000,8.7
Fulton,2009-04,27300,24700,2600,9.5
Genesee,2009-04,32900,30400,2500,7.5
Greene,2009-04,23500,21500,2000,8.7
Hamilton,2009-04,2700,2500,300,9.9
Herkimer,2009-04,31400,28800,2600,8.3
Jefferson,2009-04,48700,44300,4400,9.0
Kings,2009-04,1108600,1007600,101000,9.1
Lewis,2009-04,12600,11400,1200,9.5
Livingston,2009-04,32100,29500,2600,8.1
Madison,2009-04,36300,33400,2800,7.8
Monroe,2009-04,374300,346800,27500,7.4
Montgomery,2009-04,24400,22000,2400,9.8
Nassau,2009-04,693600,646700,46900,6.8
New York,2009-04,923200,852100,71100,7.7
Niagara,2009-04,114300,103100,11100,9.7
Oneida,2009-04,110600,102700,7900,7.2
Onondaga,2009-04,234400,217300,17000,7.3
Ontario,2009-04,57000,53000,4000,7.1
Orange,2009-04,180700,166800,13900,7.7
Orleans,2009-04,19500,17600,1900,9.7
Oswego,2009-04,60300,54500,5800,9.6
Otsego,2009-04,31400,29100,2400,7.6
Putnam,2009-04,54900,51400,3500,6.4
Queens,2009-04,1120100,1033300,86800,7.7
Rensselaer,2009-04,84600,78400,6200,7.4
Richmond,2009-04,244400,225600,18800,7.7
Rockland,2009-04,153800,143500,10400,6.7
Saratoga,2009-04,122800,115300,7500,6.1
Schenectady,2009-04,77300,71800,5400,7.0
Schoharie,2009-04,15700,14300,1400,8.9
Schuyler,2009-04,10000,9100,900,8.8
Seneca,2009-04,17100,15800,1300,7.4
St. Lawrence,2009-04,50300,45400,4900,9.7
Steuben,2009-04,46100,41500,4600,10.0
Suffolk,2009-04,790800,736100,54800,6.9
Sullivan,2009-04,34900,31900,3000,8.5
Tioga,2009-04,26400,24300,2000,7.8
Tompkins,2009-04,57900,54900,3000,5.2
Ulster,2009-04,90500,84000,6500,7.2
Warren,2009-04,35900,33000,2900,8.1
Washington,2009-04,32000,29600,2400,7.5
Wayne,2009-04,47900,43800,4100,8.6
Westchester,2009-04,486300,453700,32600,6.7
Wyoming,2009-04,20900,19100,1900,8.9
Yates,2009-04,13300,12400,900,6.8
Albany,2009-05,159800,149100,10700,6.7
Allegany,2009-05,23500,21500,2000,8.5
Bronx,2009-05,525200,466200,58900,11.2
Broome,2009-05,98500,90700,7800,7.9
Cattaraugus,2009-05,41700,38200,3500,8.4
Cayuga,2009-05,41600,38300,3300,8.0
Chautauqua,2009-05,66200,60800,5400,8.1
Chemung,2009-05,41200,37400,3800,9.2
Chenango,2009-05,24600,22600,2100,8.3
Clinton,2009-05,40000,36300,3700,9.3
Columbia,2009-05,31600,29300,2300,7.4
Cortland,2009-05,24200,22100,2100,8.7
Delaware,2009-05,22400,20600,1800,8.1
Dutchess,2009-05,145000,134100,10900,7.5
Erie,2009-05,470300,432700,37600,8.0
Essex,2009-05,17800,16100,1700,9.4
Franklin,2009-05,23000,21100,1900,8.2
Fulton,2009-05,27300,24700,2500,9.3
Genesee,2009-05,33800,31400,2400,7.0
Greene,2009-05,23700,21700,2000,8.4
Hamilton,2009-05,2900,2700,200,6.9
Herkimer,2009-05,31200,28900,2300,7.3
Jefferson,2009-05,49700,45700,4100,8.2
Kings,2009-05,1106100,1001300,104700,9.5
Lewis,2009-05,12700,11700,1100,8.5
Livingston,2009-05,32100,29500,2600,8.0
Madison,2009-05,36000,33200,2800,7.7
Monroe,2009-05,376300,346900,29500,7.8
Montgomery,2009-05,24400,22200,2200,9.1
Nassau,2009-05,695900,648000,47900,6.9
New York,2009-05,924800,846800,78000,8.4
Niagara,2009-05,113600,103200,10400,9.1
Oneida,2009-05,111100,103100,8000,7.2
Onondaga,2009-05,234200,216200,18000,7.7
Ontario,2009-05,56900,53000,3900,6.9
Orange,2009-05,180900,166800,14100,7.8
Orleans,2009-05,19400,17600,1700,9.0
Oswego,2009-05,60000,54200,5800,9.6
Otsego,2009-05,31600,29500,2200,6.9
Putnam,2009-05,55100,51400,3700,6.7
Queens,2009-05,1118500,1026900,91600,8.2
Rensselaer,2009-05,84300,78200,6100,7.3
Richmond,2009-05,243000,224200,18700,7.7
Rockland,2009-05,154000,143400,10600,6.9
Saratoga,2009-05,122700,115100,7600,6.2
Schenectady,2009-05,77200,71700,5500,7.1
Schoharie,2009-05,15500,14300,1200,7.9
Schuyler,2009-05,10200,9400,800,7.8
Seneca,2009-05,17300,16000,1300,7.4
St. Lawrence,2009-05,50200,45500,4700,9.3
Steuben,2009-05,46200,41700,4500,9.7
Suffolk,2009-05,793600,737600,56000,7.1
Sullivan,2009-05,35300,32300,3000,8.5
Tioga,2009-05,26500,24400,2100,7.8
Tompkins,2009-05,57200,54000,3200,5.7
Ulster,2009-05,90300,83500,6800,7.5
Warren,2009-05,36900,34200,2600,7.1
Washington,2009-05,33100,30700,2400,7.2
Wayne,2009-05,47700,43800,3900,8.2
Westchester,2009-05,488100,453500,34600,7.1
Wyoming,2009-05,21000,19300,1700,8.2
Yates,2009-05,13500,12700,900,6.3
Albany,2009-06,162500,150800,11700,7.2
Allegany,2009-06,22900,20700,2200,9.5
Bronx,2009-06,532200,467800,64400,12.1
Broome,2009-06,99600,91400,8300,8.3
Cattaraugus,2009-06,42100,38500,3600,8.6
Cayuga,2009-06,42400,39000,3400,8.1
Chautauqua,2009-06,67300,61500,5800,8.6
Chemung,2009-06,41700,37800,3900,9.4
Chenango,2009-06,25200,23000,2200,8.7
Clinton,2009-06,40700,36700,3900,9.6
Columbia,2009-06,32400,29900,2500,7.6
Cortland,2009-06,24200,21900,2300,9.3
Delaware,2009-06,22800,20800,2000,8.7
Dutchess,2009-06,147700,135800,11800,8.0
Erie,2009-06,477600,437900,39700,8.3
Essex,2009-06,18800,17200,1600,8.3
Franklin,2009-06,23500,21500,1900,8.2
Fulton,2009-06,28000,25400,2600,9.3
Genesee,2009-06,34700,32200,2500,7.2
Greene,2009-06,24400,22300,2100,8.6
Hamilton,2009-06,3200,3000,200,5.6
Herkimer,2009-06,31500,29200,2300,7.2
Jefferson,2009-06,51400,47200,4200,8.2
Kings,2009-06,1118300,1004700,113600,10.2
Lewis,2009-06,13400,12400,1000,7.5
Livingston,2009-06,32600,29800,2800,8.6
Madison,2009-06,36500,33500,3000,8.2
Monroe,2009-06,381700,349900,31800,8.3
Montgomery,2009-06,25000,22800,2200,8.9
Nassau,2009-06,710500,658600,51900,7.3
New York,2009-06,931800,849600,82200,8.8
Niagara,2009-06,115300,104400,10900,9.4
Oneida,2009-06,113000,104400,8500,7.5
Onondaga,2009-06,237100,217900,19200,8.1
Ontario,2009-06,57600,53400,4200,7.3
Orange,2009-06,184100,169000,15200,8.2
Orleans,2009-06,19600,17800,1800,9.3
Oswego,2009-06,60700,54700,6000,9.9
Otsego,2009-06,32900,30400,2400,7.4
Putnam,2009-06,56100,52200,3900,6.9
Queens,2009-06,1128800,1030300,98500,8.7
Rensselaer,2009-06,85500,79100,6500,7.6
Richmond,2009-06,245700,225000,20700,8.4
Rockland,2009-06,157200,145700,11500,7.3
Saratoga,2009-06,124400,116400,8100,6.5
Schenectady,2009-06,78400,72500,5900,7.5
Schoharie,2009-06,15800,14500,1300,8.5
Schuyler,2009-06,10300,9500,800,7.8
Seneca,2009-06,17700,16300,1400,7.7
St. Lawrence,2009-06,49700,44700,5000,10.0
Steuben,2009-06,47000,42400,4600,9.9
Suffolk,2009-06,809200,749700,59500,7.4
Sullivan,2009-06,36400,33300,3100,8.5
Tioga,2009-06,26700,24600,2100,7.9
Tompkins,2009-06,55200,51400,3800,6.9
Ulster,2009-06,91700,84300,7400,8.0
Warren,2009-06,38400,35800,2600,6.7
Washington,2009-06,34600,32100,2500,7.3
Wayne,2009-06,48200,44200,4000,8.2
Westchester,2009-06,497800,460800,37000,7.4
Wyoming,2009-06,21500,19800,1800,8.3
Yates,2009-06,13500,12500,900,6.9
Albany,2009-07,161200,149600,11600,7.2
Allegany,2009-07,22800,20700,2100,9.2
Bronx,2009-07,539800,471400,68400,12.7
Broome,2009-07,98000,89900,8100,8.3
Cattaraugus,2009-07,41900,38300,3600,8.5
Cayuga,2009-07,43100,39700,3400,8.0
Chautauqua,2009-07,68800,63200,5600,8.2
Chemung,2009-07,41200,37400,3800,9.2
Chenango,2009-07,25000,22900,2200,8.6
Clinton,2009-07,40300,36500,3800,9.3
Columbia,2009-07,32500,30000,2500,7.6
Cortland,2009-07,23800,21700,2200,9.1
Delaware,2009-07,23000,21000,1900,8.5
Dutchess,2009-07,147000,135100,11900,8.1
Erie,2009-07,477000,437600,39500,8.3
Essex,2009-07,19700,18200,1500,7.6
Franklin,2009-07,23600,21700,1900,7.9
Fulton,2009-07,27600,25000,2500,9.1
Genesee,2009-07,34200,31800,2400,7.0
Greene,2009-07,24900,22900,2000,8.2
Hamilton,2009-07,3500,3300,200,4.6
Herkimer,2009-07,31500,29300,2200,7.0
Jefferson,2009-07,51800,47700,4100,8.0
Kings,2009-07,1133500,1012400,121000,10.7
Lewis,2009-07,13200,12200,1000,7.3
Livingston,2009-07,32500,29800,2700,8.3
Madison,2009-07,36300,33400,2900,8.0
Monroe,2009-07,381800,349700,32100,8.4
Montgomery,2009-07,24600,22400,2200,9.1
Nassau,2009-07,708700,657000,51800,7.3
New York,2009-07,941300,856200,85200,9.0
Niagara,2009-07,114900,104300,10600,9.2
Oneida,2009-07,113000,104700,8200,7.3
Onondaga,2009-07,235800,217100,18700,7.9
Ontario,2009-07,57300,53400,3900,6.9
Orange,2009-07,183300,168100,15200,8.3
Orleans,2009-07,19600,17800,1800,9.4
Oswego,2009-07,60200,54500,5700,9.5
Otsego,2009-07,33000,30600,2400,7.2
Putnam,2009-07,56500,52500,4000,7.0
Queens,2009-07,1140100,1038300,101800,8.9
Rensselaer,2009-07,85000,78400,6600,7.8
Richmond,2009-07,249300,226700,22500,9.0
Rockland,2009-07,158200,146500,11800,7.4
Saratoga,2009-07,123100,115400,7700,6.3
Schenectady,2009-07,77600,71900,5800,7.4
Schoharie,2009-07,15700,14300,1300,8.6
Schuyler,2009-07,10400,9600,800,7.6
Seneca,2009-07,17600,16300,1300,7.2
St. Lawrence,2009-07,49600,44700,4900,9.9
Steuben,2009-07,46300,41900,4400,9.5
Suffolk,2009-07,809300,747800,61500,7.6
Sullivan,2009-07,37500,34600,3000,7.9
Tioga,2009-07,26300,24200,2100,8.0
Tompkins,2009-07,54800,51100,3700,6.7
Ulster,2009-07,91200,83800,7400,8.1
Warren,2009-07,38700,36200,2500,6.5
Washington,2009-07,34900,32400,2400,6.9
Wayne,2009-07,48000,44200,3800,8.0
Westchester,2009-07,500400,463300,37100,7.4
Wyoming,2009-07,21800,20000,1800,8.1
Yates,2009-07,13300,12400,900,6.5
Albany,2009-08,160800,149200,11600,7.2
Allegany,2009-08,22600,20600,2100,9.1
Bronx,2009-08,538300,468100,70100,13.0
Broome,2009-08,97900,89800,8100,8.3
Cattaraugus,2009-08,41300,37800,3500,8.5
Cayuga,2009-08,42500,39200,3400,7.9
Chautauqua,2009-08,68200,62600,5600,8.2
Chemung,2009-08,40900,37300,3600,8.9
Chenango,2009-08,24900,22800,2100,8.5
Clinton,2009-08,39900,36200,3700,9.2
Columbia,2009-08,32600,30200,2400,7.4
Cortland,2009-08,23600,21500,2100,8.8
Delaware,2009-08,22600,20700,1900,8.3
Dutchess,2009-08,146500,134600,11900,8.1
Erie,2009-08,476200,437500,38600,8.1
Essex,2009-08,19300,17900,1400,7.3
Franklin,2009-08,23200,21400,1800,7.8
Fulton,2009-08,27700,25100,2500,9.1
Genesee,2009-08,34000,31600,2400,7.0
Greene,2009-08,24900,22900,2000,8.0
Hamilton,2009-08,3500,3400,200,4.4
Herkimer,2009-08,31400,29200,2200,7.0
Jefferson,2009-08,51200,47200,4000,7.9
Kings,2009-08,1128000,1005500,122600,10.9
Lewis,2009-08,13000,12100,900,7.1
Livingston,2009-08,32200,29600,2600,8.0
Madison,2009-08,36100,33300,2800,7.8
Monroe,2009-08,379800,348100,31700,8.3
Montgomery,2009-08,24800,22600,2200,8.8
Nassau,2009-08,702800,651700,51100,7.3
New York,2009-08,935300,850300,85000,9.1
Niagara,2009-08,114400,104300,10100,8.8
Oneida,2009-08,112500,104400,8100,7.2
Onondaga,2009-08,234800,216500,18200,7.8
Ontario,2009-08,57000,53200,3800,6.7
Orange,2009-08,182500,167500,15100,8.3
Orleans,2009-08,19500,17700,1800,9.3
Oswego,2009-08,59900,54300,5600,9.4
Otsego,2009-08,32500,30200,2300,7.1
Putnam,2009-08,55900,52000,3900,7.1
Queens,2009-08,1133200,1031200,102100,9.0
Rensselaer,2009-08,84700,78200,6500,7.6
Richmond,2009-08,247900,225200,22800,9.2
Rockland,2009-08,156600,145100,11500,7.4
Saratoga,2009-08,122700,115100,7600,6.2
Schenectady,2009-08,77600,71700,5900,7.6
Schoharie,2009-08,15500,14300,1300,8.1
Schuyler,2009-08,10300,9600,800,7.5
Seneca,2009-08,17500,16200,1300,7.2
St. Lawrence,2009-08,49100,44200,4900,9.9
Steuben,2009-08,46100,41800,4300,9.4
Suffolk,2009-08,802900,741700,61200,7.6
Sullivan,2009-08,37700,34800,2900,7.8
Tioga,2009-08,26200,24200,2000,7.7
Tompkins,2009-08,54300,50600,3700,6.7
Ulster,2009-08,91300,83800,7400,8.2
Warren,2009-08,38400,35900,2500,6.6
Washington,2009-08,34500,32200,2300,6.7
Wayne,2009-08,47700,44000,3700,7.8
Westchester,2009-08,495900,458800,37100,7.5
Wyoming,2009-08,21500,19800,1700,8.0
Yates,2009-08,13100,12300,900,6.5
Albany,2009-09,158500,147200,11300,7.1
Allegany,2009-09,24200,22200,1900,8.0
Bronx,2009-09,531200,462400,68800,13.0
Broome,2009-09,97800,89600,8200,8.4
Cattaraugus,2009-09,41300,37800,3400,8.4
Cayuga,2009-09,41600,38400,3300,7.8
Chautauqua,2009-09,65500,60200,5200,8.0
Chemung,2009-09,41100,37500,3600,8.8
Chenango,2009-09,23900,21800,2100,8.7
Clinton,2009-09,39800,36200,3600,8.9
Columbia,2009-09,31200,28900,2400,7.6
Cortland,2009-09,24100,22100,2000,8.5
Delaware,2009-09,22100,20300,1800,8.3
Dutchess,2009-09,144600,132700,11900,8.3
Erie,2009-09,471300,433200,38200,8.1
Essex,2009-09,18100,16700,1400,7.6
Franklin,2009-09,23000,21200,1800,7.7
Fulton,2009-09,27000,24500,2500,9.3
Genesee,2009-09,33100,30700,2400,7.1
Greene,2009-09,23900,22000,2000,8.2
Hamilton,2009-09,3200,3000,200,5.0
Herkimer,2009-09,30800,28500,2300,7.4
Jefferson,2009-09,49700,45800,3900,7.8
Kings,2009-09,1111700,993100,118600,10.7
Lewis,2009-09,12400,11500,900,7.2
Livingston,2009-09,31700,29300,2500,7.7
Madison,2009-09,35800,33100,2700,7.5
Monroe,2009-09,375000,344000,31000,8.3
Montgomery,2009-09,24100,22000,2100,8.9
Nassau,2009-09,691400,641300,50100,7.2
New York,2009-09,922300,839800,82500,8.9
Niagara,2009-09,112900,103300,9600,8.5
Oneida,2009-09,109800,101900,7900,7.2
Onondaga,2009-09,233700,215200,18500,7.9
Ontario,2009-09,56300,52500,3800,6.7
Orange,2009-09,179700,165000,14700,8.2
Orleans,2009-09,19100,17500,1600,8.3
Oswego,2009-09,59600,54000,5600,9.3
Otsego,2009-09,31700,29600,2200,6.8
Putnam,2009-09,54700,50900,3900,7.1
Queens,2009-09,1117200,1018500,98700,8.8
Rensselaer,2009-09,83500,77200,6300,7.6
Richmond,2009-09,243500,222400,21100,8.7
Rockland,2009-09,153400,142000,11400,7.4
Saratoga,2009-09,121200,113600,7600,6.3
Schenectady,2009-09,76600,70800,5800,7.6
Schoharie,2009-09,15300,14100,1200,7.7
Schuyler,2009-09,10100,9400,800,7.5
Seneca,2009-09,17200,16000,1200,7.1
St. Lawrence,2009-09,49600,45100,4500,9.0
Steuben,2009-09,45900,41700,4300,9.3
Suffolk,2009-09,789400,729900,59500,7.5
Sullivan,2009-09,35400,32500,3000,8.4
Tioga,2009-09,26100,24100,2000,7.7
Tompkins,2009-09,57500,54100,3400,5.9
Ulster,2009-09,89800,82600,7200,8.0
Warren,2009-09,36600,34100,2500,6.9
Washington,2009-09,32900,30600,2300,7.1
Wayne,2009-09,47200,43500,3700,7.8
Westchester,2009-09,485400,449200,36200,7.5
Wyoming,2009-09,20700,19000,1600,8.0
Yates,2009-09,13400,12600,800,6.0
Albany,2009-10,158100,147000,11100,7.0
Allegany,2009-10,24500,22500,2000,8.1
Bronx,2009-10,536200,465400,70800,13.2
Broome,2009-10,97300,89100,8200,8.4
Cattaraugus,2009-10,41600,37900,3600,8.7
Cayuga,2009-10,41600,38300,3300,8.0
Chautauqua,2009-10,64800,59500,5300,8.1
Chemung,2009-10,40800,37300,3600,8.7
Chenango,2009-10,23900,21800,2100,8.9
Clinton,2009-10,39500,35900,3600,9.1
Columbia,2009-10,31200,28800,2300,7.5
Cortland,2009-10,24500,22400,2100,8.4
Delaware,2009-10,22100,20200,1800,8.3
Dutchess,2009-10,145100,133400,11700,8.1
Erie,2009-10,471300,433100,38200,8.1
Essex,2009-10,17700,16200,1500,8.5
Franklin,2009-10,23000,21100,1900,8.1
Fulton,2009-10,27000,24400,2500,9.4
Genesee,2009-10,32900,30400,2400,7.4
Greene,2009-10,23600,21700,2000,8.3
Hamilton,2009-10,3000,2800,200,6.5
Herkimer,2009-10,30900,28600,2400,7.6
Jefferson,2009-10,49100,44900,4200,8.6
Kings,2009-10,1121300,999500,121800,10.9
Lewis,2009-10,12600,11600,1000,7.7
Livingston,2009-10,31900,29400,2500,7.8
Madison,2009-10,35700,33000,2700,7.6
Monroe,2009-10,375800,345200,30600,8.1
Montgomery,2009-10,24200,22000,2200,9.0
Nassau,2009-10,689800,640200,49600,7.2
New York,2009-10,929300,845200,84100,9.1
Niagara,2009-10,112900,103300,9600,8.5
Oneida,2009-10,110100,102000,8100,7.4
Onondaga,2009-10,233400,214700,18700,8.0
