county,month,labor_force,employed,unemployed,unemployment_rate
Richmond,1990-03,181400,170600,10700,5.9
Rockland,1990-03,143000,138900,4100,2.9
Saratoga,1990-03,96700,92600,4000,4.2
Schenectady,1990-03,75000,71900,3100,4.1
Schoharie,1990-03,15200,14300,1000,6.3
Schuyler,1990-03,8800,8200,600,7.0
Seneca,1990-03,16300,15400,900,5.6
St. Lawrence,1990-03,49300,44700,4600,9.4
Steuben,1990-03,46500,43700,2800,6.1
Suffolk,1990-03,707700,679400,28300,4.0
Sullivan,1990-03,31700,29700,2000,6.4
Tioga,1990-03,26700,25300,1400,5.3
Tompkins,1990-03,48700,46700,1900,4.0
Ulster,1990-03,85000,82000,3000,3.6
Warren,1990-03,29800,27800,2000,6.8
Washington,1990-03,27600,25800,1800,6.4
Wayne,1990-03,46200,43500,2700,5.8
Westchester,1990-03,470300,455200,15000,3.2
Wyoming,1990-03,19400,18000,1300,6.9
Yates,1990-03,10800,10200,600,6.0
Albany,1990-04,157300,153300,4000,2.5
Allegany,1990-04,22700,21200,1500,6.6
Bronx,1990-04,458000,422300,35700,7.8
Broome,1990-04,105000,100300,4700,4.5
Cattaraugus,1990-04,38900,36300,2600,6.8
Cayuga,1990-04,38900,36600,2300,5.9
Chautauqua,1990-04,67200,63300,3800,5.7
Chemung,1990-04,43900,41900,2000,4.5
Chenango,1990-04,25400,24000,1500,5.8
Clinton,1990-04,38900,36500,2400,6.1
Columbia,1990-04,31400,30400,1000,3.1
Cortland,1990-04,24900,23200,1700,6.8
Delaware,1990-04,21700,20400,1300,5.8
Dutchess,1990-04,133900,130500,3500,2.6
Erie,1990-04,476300,451800,24500,5.2
Essex,1990-04,17400,15700,1700,9.9
Franklin,1990-04,20900,18700,2200,10.3
Fulton,1990-04,26600,24400,2200,8.2
Genesee,1990-04,30900,29500,1400,4.6
Greene,1990-04,20100,19000,1100,5.4
Hamilton,1990-04,2600,2300,300,13.3
Herkimer,1990-04,30000,28200,1800,5.9
Jefferson,1990-04,46500,42000,4500,9.6
Kings,1990-04,959600,887200,72400,7.5
Lewis,1990-04,12400,11400,1000,8.2
Livingston,1990-04,32100,30600,1500,4.7
Madison,1990-04,35200,33400,1800,5.1
Monroe,1990-04,373400,361400,12000,3.2
Montgomery,1990-04,24700,22800,1900,7.6
Nassau,1990-04,697500,674700,22700,3.3
New York,1990-04,775700,735600,40100,5.2
Niagara,1990-04,109200,102800,6400,5.8
Oneida,1990-04,113700,108800,4900,4.3
Onondaga,1990-04,241900,233200,8800,3.6
Ontario,1990-04,50400,48300,2200,4.3
Orange,1990-04,150600,144400,6200,4.1
Orleans,1990-04,19700,18300,1400,7.2
Oswego,1990-04,57200,53200,4100,7.1
Otsego,1990-04,29200,27500,1600,5.6
Putnam,1990-04,47500,46000,1500,3.1
Queens,1990-04,952100,897500,54500,5.7
Rensselaer,1990-04,81200,78200,3100,3.8
Richmond,1990-04,180400,169900,10500,5.8
Rockland,1990-04,143400,139300,4100,2.9
Saratoga,1990-04,96700,93200,3500,3.6
Schenectady,1990-04,75100,72400,2800,3.7
Schoharie,1990-04,15100,14400,800,5.1
Schuyler,1990-04,9000,8500,500,5.7
Seneca,1990-04,16300,15500,700,4.5
St. Lawrence,1990-04,49300,45100,4200,8.5
Steuben,1990-04,46400,44000,2400,5.2
Suffolk,1990-04,706900,679700,27300,3.9
Sullivan,1990-04,32700,31100,1600,4.8
Tioga,1990-04,26300,25100,1200,4.5
Tompkins,1990-04,48900,47200,1700,3.6
