county,month,enrollment
Putnam,2018-07,13383
Queens,2018-07,920366
Rensselaer,2018-07,34587
Richmond,2018-07,138837
Rockland,2018-07,108232
Saratoga,2018-07,32492
Schenectady,2018-07,44175
Schoharie,2018-07,6891
Schuyler,2018-07,3749
Seneca,2018-07,7904
St. Lawrence,2018-07,28612
Steuben,2018-07,25106
Suffolk,2018-07,308547
Sullivan,2018-07,25531
Tioga,2018-07,11395
Tompkins,2018-07,15958
Ulster,2018-07,43829
Warren,2018-07,14987
Washington,2018-07,16393
Wayne,2018-07,21287
Westchester,2018-07,206188
Wyoming,2018-07,8518
Yates,2018-07,4936
Albany,2018-08,63450
Allegany,2018-08,12333
Bronx,2018-08,819305
Broome,2018-08,53036
Cattaraugus,2018-08,21700
Cayuga,2018-08,19595
Chautauqua,2018-08,38416
Chemung,2018-08,25852
Chenango,2018-08,13820
Clinton,2018-08,19836
Columbia,2018-08,14353
Cortland,2018-08,11721
Delaware,2018-08,10448
Dutchess,2018-08,55570
Erie,2018-08,235964
Essex,2018-08,8343
Franklin,2018-08,14513
Fulton,2018-08,14557
Genesee,2018-08,12617
Greene,2018-08,12309
Hamilton,2018-08,712
Herkimer,2018-08,16135
Jefferson,2018-08,28472
Kings,2018-08,1166219
Lewis,2018-08,5229
Livingston,2018-08,11936
Madison,2018-08,15897
Monroe,2018-08,195419
Montgomery,2018-08,18118
Nassau,2018-08,252297
New York,2018-08,443814
Niagara,2018-08,53061
Oneida,2018-08,70959
Onondaga,2018-08,116946
Ontario,2018-08,21843
Orange,2018-08,101328
Orleans,2018-08,10948
Oswego,2018-08,32852
Otsego,2018-08,12809
Putnam,2018-08,13403
Queens,2018-08,920511
Rensselaer,2018-08,34597
Richmond,2018-08,139422
Rockland,2018-08,108741
Saratoga,2018-08,32556
Schenectady,2018-08,44291
Schoharie,2018-08,6917
Schuyler,2018-08,3777
Seneca,2018-08,7932
St. Lawrence,2018-08,28707
Steuben,2018-08,25069
Suffolk,2018-08,308836
Sullivan,2018-08,25505
Tioga,2018-08,11427
Tompkins,2018-08,15993
Ulster,2018-08,43946
Warren,2018-08,15019
Washington,2018-08,16313
Wayne,2018-08,21307
Westchester,2018-08,206542
Wyoming,2018-08,8509
Yates,2018-08,4957
Albany,2018-09,63205
Allegany,2018-09,12359
Bronx,2018-09,818826
Broome,2018-09,52895
Cattaraugus,2018-09,21645
Cayuga,2018-09,19534
Chautauqua,2018-09,38256
Chemung,2018-09,25751
Chenango,2018-09,13897
Clinton,2018-09,19800
Columbia,2018-09,14417
Cortland,2018-09,11691
Delaware,2018-09,10418
Dutchess,2018-09,55599
Erie,2018-09,235771
Essex,2018-09,8339
Franklin,2018-09,14384
Fulton,2018-09,14619
Genesee,2018-09,12582
Greene,2018-09,12308
Hamilton,2018-09,715
Herkimer,2018-09,16056
Jefferson,2018-09,28525
Kings,2018-09,1164866
Lewis,2018-09,5201
Livingston,2018-09,11974
Madison,2018-09,15879
Monroe,2018-09,195174
Montgomery,2018-09,18136
Nassau,2018-09,252026
New York,2018-09,443100
Niagara,2018-09,53017
Oneida,2018-09,70985
Onondaga,2018-09,116640
Ontario,2018-09,21795
Orange,2018-09,101449
Orleans,2018-09,10833
Oswego,2018-09,32773
Otsego,2018-09,12751
Putnam,2018-09,13350
Queens,2018-09,919162
Rensselaer,2018-09,34478
Richmond,2018-09,139321
Rockland,2018-09,108700
Saratoga,2018-09,32492
Schenectady,2018-09,44175
Schoharie,2018-09,6887
Schuyler,2018-09,3768
Seneca,2018-09,7906
St. Lawrence,2018-09,28648
Steuben,2018-09,25097
Suffolk,2018-09,308484
Sullivan,2018-09,25542
Tioga,2018-09,11424
Tompkins,2018-09,16060
Ulster,2018-09,43917
Warren,2018-09,14965
Washington,2018-09,16285
Wayne,2018-09,21277
Westchester,2018-09,206230
Wyoming,2018-09,8511
Yates,2018-09,4948
Albany,2018-10,63188
Allegany,2018-10,12342
Bronx,2018-10,820364
Broome,2018-10,52798
Cattaraugus,2018-10,21707
Cayuga,2018-10,19532
Chautauqua,2018-10,38265
Chemung,2018-10,25782
Chenango,2018-10,13906
Clinton,2018-10,19812
Columbia,2018-10,14413
Cortland,2018-10,11701
Delaware,2018-10,10428
Dutchess,2018-10,55687
Erie,2018-10,236071
Essex,2018-10,8337
Franklin,2018-10,14366
Fulton,2018-10,14587
Genesee,2018-10,12644
Greene,2018-10,12259
Hamilton,2018-10,713
Herkimer,2018-10,16061
Jefferson,2018-10,28635
Kings,2018-10,1165622
Lewis,2018-10,5177
Livingston,2018-10,12007
Madison,2018-10,15959
Monroe,2018-10,195479
Montgomery,2018-10,18088
Nassau,2018-10,252611
New York,2018-10,443208
Niagara,2018-10,53080
Oneida,2018-10,71190
Onondaga,2018-10,116589
Ontario,2018-10,21813
Orange,2018-10,101925
Orleans,2018-10,10811
Oswego,2018-10,32728
Otsego,2018-10,12748
Putnam,2018-10,13321
Queens,2018-10,920267
Rensselaer,2018-10,34544
Richmond,2018-10,139567
Rockland,2018-10,109380
Saratoga,2018-10,32507
Schenectady,2018-10,44361
Schoharie,2018-10,6872
Schuyler,2018-10,3787
Seneca,2018-10,7926
St. Lawrence,2018-10,28657
Steuben,2018-10,25072
Suffolk,2018-10,308781
Sullivan,2018-10,25519
Tioga,2018-10,11433
Tompkins,2018-10,16000
Ulster,2018-10,43998
Warren,2018-10,15008
Washington,2018-10,16275
Wayne,2018-10,21298
Westchester,2018-10,206516
Wyoming,2018-10,8532
Yates,2018-10,4955
Albany,2018-11,63301
Allegany,2018-11,12368
Bronx,2018-11,819243
Broome,2018-11,52556
Cattaraugus,2018-11,21695
Cayuga,2018-11,19449
Chautauqua,2018-11,38203
Chemung,2018-11,25748
Chenango,2018-11,13925
Clinton,2018-11,19737
Columbia,2018-11,14425
Cortland,2018-11,11693
Delaware,2018-11,10456
Dutchess,2018-11,55816
Erie,2018-11,235977
Essex,2018-11,8363
Franklin,2018-11,14357
Fulton,2018-11,14652
Genesee,2018-11,12584
Greene,2018-11,12280
Hamilton,2018-11,715
Herkimer,2018-11,16079
Jefferson,2018-11,28531
Kings,2018-11,1163765
Lewis,2018-11,5139
Livingston,2018-11,11958
Madison,2018-11,15918
Monroe,2018-11,195651
Montgomery,2018-11,18066
Nassau,2018-11,252941
New York,2018-11,441635
Niagara,2018-11,53031
Oneida,2018-11,71315
Onondaga,2018-11,116751
Ontario,2018-11,21777
Orange,2018-11,102060
Orleans,2018-11,10807
Oswego,2018-11,32618
Otsego,2018-11,12768
Putnam,2018-11,13351
Queens,2018-11,918504
Rensselaer,2018-11,34488
Richmond,2018-11,139413
Rockland,2018-11,109823
Saratoga,2018-11,32491
Schenectady,2018-11,44364
Schoharie,2018-11,6883
Schuyler,2018-11,3767
Seneca,2018-11,7945
St. Lawrence,2018-11,28725
Steuben,2018-11,25207
Suffolk,2018-11,308683
Sullivan,2018-11,25582
Tioga,2018-11,11422
Tompkins,2018-11,15967
Ulster,2018-11,44080
Warren,2018-11,15003
Washington,2018-11,16337
Wayne,2018-11,21250
Westchester,2018-11,206391
Wyoming,2018-11,8575
Yates,2018-11,4982
Albany,2018-12,63368
Allegany,2018-12,12341
Bronx,2018-12,817818
Broome,2018-12,52419
Cattaraugus,2018-12,21684
Cayuga,2018-12,19395
Chautauqua,2018-12,38131
Chemung,2018-12,25644
Chenango,2018-12,13920
Clinton,2018-12,19800
Columbia,2018-12,14476
Cortland,2018-12,11748
Delaware,2018-12,10418
Dutchess,2018-12,55912
Erie,2018-12,235932
Essex,2018-12,8417
Franklin,2018-12,14392
Fulton,2018-12,14637
Genesee,2018-12,12631
Greene,2018-12,12253
Hamilton,2018-12,727
Herkimer,2018-12,16078
Jefferson,2018-12,28505
Kings,2018-12,1163614
Lewis,2018-12,5149
Livingston,2018-12,11871
Madison,2018-12,15922
Monroe,2018-12,195682
Montgomery,2018-12,18038
Nassau,2018-12,253515
New York,2018-12,441285
Niagara,2018-12,53089
Oneida,2018-12,71185
Onondaga,2018-12,116876
Ontario,2018-12,21824
Orange,2018-12,102196
Orleans,2018-12,10747
Oswego,2018-12,32651
Otsego,2018-12,12711
Putnam,2018-12,13380
Queens,2018-12,918494
Rensselaer,2018-12,34580
Richmond,2018-12,139438
Rockland,2018-12,110131
Saratoga,2018-12,32575
Schenectady,2018-12,44427
Schoharie,2018-12,6883
Schuyler,2018-12,3769
Seneca,2018-12,7944
St. Lawrence,2018-12,28683
Steuben,2018-12,25169
Suffolk,2018-12,308844
Sullivan,2018-12,25577
Tioga,2018-12,11380
Tompkins,2018-12,16001
Ulster,2018-12,44113
Warren,2018-12,14997
Washington,2018-12,16343
Wayne,2018-12,21256
Westchester,2018-12,206552
Wyoming,2018-12,8537
Yates,2018-12,4976
Albany,2019-01,63479
Allegany,2019-01,12358
Bronx,2019-01,819196
Broome,2019-01,52646
Cattaraugus,2019-01,21662
Cayuga,2019-01,19539
Chautauqua,2019-01,38206
Chemung,2019-01,25685
Chenango,2019-01,13961
Clinton,2019-01,19806
Columbia,2019-01,14511
Cortland,2019-01,11778
Delaware,2019-01,10379
Dutchess,2019-01,56284
Erie,2019-01,236139
Essex,2019-01,8443
Franklin,2019-01,14433
Fulton,2019-01,14688
Genesee,2019-01,12622
Greene,2019-01,12324
Hamilton,2019-01,753
Herkimer,2019-01,16134
Jefferson,2019-01,28499
Kings,2019-01,1164612
Lewis,2019-01,5155
Livingston,2019-01,11883
Madison,2019-01,15943
Monroe,2019-01,196540
Montgomery,2019-01,18165
Nassau,2019-01,254153
New York,2019-01,441125
Niagara,2019-01,53155
Oneida,2019-01,71151
Onondaga,2019-01,117227
Ontario,2019-01,21887
Orange,2019-01,102353
Orleans,2019-01,10690
Oswego,2019-01,32795
Otsego,2019-01,12763
Putnam,2019-01,13417
Queens,2019-01,918636
Rensselaer,2019-01,34684
Richmond,2019-01,139820
Rockland,2019-01,110782
Saratoga,2019-01,32718
Schenectady,2019-01,44531
Schoharie,2019-01,6858
Schuyler,2019-01,3793
Seneca,2019-01,7974
St. Lawrence,2019-01,28752
Steuben,2019-01,25196
Suffolk,2019-01,309937
Sullivan,2019-01,25620
Tioga,2019-01,11347
Tompkins,2019-01,15996
Ulster,2019-01,44149
Warren,2019-01,15016
Washington,2019-01,16434
Wayne,2019-01,21209
Westchester,2019-01,207045
Wyoming,2019-01,8555
Yates,2019-01,4985
Albany,2019-02,63364
Allegany,2019-02,12389
Bronx,2019-02,817055
Broome,2019-02,52462
Cattaraugus,2019-02,21560
Cayuga,2019-02,19420
Chautauqua,2019-02,38116
Chemung,2019-02,25587
Chenango,2019-02,13887
Clinton,2019-02,19695
Columbia,2019-02,14477
Cortland,2019-02,11814
Delaware,2019-02,10327
Dutchess,2019-02,56274
Erie,2019-02,236176
Essex,2019-02,8391
Franklin,2019-02,14340
Fulton,2019-02,14667
Genesee,2019-02,12605
Greene,2019-02,12226
Hamilton,2019-02,760
Herkimer,2019-02,16121
Jefferson,2019-02,28438
Kings,2019-02,1161124
Lewis,2019-02,5182
Livingston,2019-02,11878
Madison,2019-02,15969
Monroe,2019-02,196077
Montgomery,2019-02,18145
Nassau,2019-02,253695
New York,2019-02,439275
Niagara,2019-02,53166
Oneida,2019-02,70975
Onondaga,2019-02,117006
Ontario,2019-02,21862
Orange,2019-02,102420
Orleans,2019-02,10635
Oswego,2019-02,32806
Otsego,2019-02,12711
Putnam,2019-02,13375
Queens,2019-02,915255
Rensselaer,2019-02,34612
Richmond,2019-02,139684
Rockland,2019-02,110892
Saratoga,2019-02,32660
Schenectady,2019-02,44508
Schoharie,2019-02,6842
Schuyler,2019-02,3774
Seneca,2019-02,7978
St. Lawrence,2019-02,28673
Steuben,2019-02,25178
Suffolk,2019-02,309433
Sullivan,2019-02,25604
Tioga,2019-02,11383
Tompkins,2019-02,15966
Ulster,2019-02,44010
Warren,2019-02,14941
Washington,2019-02,16369
Wayne,2019-02,21255
Westchester,2019-02,206760
Wyoming,2019-02,8579
Yates,2019-02,4974
Albany,2019-03,63354
Allegany,2019-03,12447
Bronx,2019-03,818221
Broome,2019-03,52394
Cattaraugus,2019-03,21576
Cayuga,2019-03,19388
Chautauqua,2019-03,38055
